Name,Cuisine,Phone Number,Description,Twice Rated
ALLA FAMIGLIA,ITALIAN,4124881440,"Alla Famiglia remains a favorite among members of the independent Restaurant Review Panel for its bountiful portions, crisp service and white-tablecloth dining that suggests a dressed-up evening. Jonathan C. Vlasic expanded his 13-year-old restaurant this year into the adjacent building, adding an upscale dining room and bar. The house specialty is a double-cut veal chop, and that’s exactly what you should get. It comes in a variety of permutations such as grilled Florentine style with lemon and rosemary jus and pizzaiola, a braised preparation with marinara, hot and sweet peppers, sausage, onions and fontina, caramelized on the outside and tender within.",False
B52 CAFE,MIDDLE EASTERN,4127815204,"Omar Abuhejleh’s Upper Lawrenceville establishment is a restaurant with flavorful, Levantine-influenced vegan cuisine that also serves as a soulful community cafe. Start your day with a specialty coffee or a bracing shot of espresso while enjoying avocado or almond butter toast on house-baked bread; the buckwheat sourdough pancakes are another excellent option. For a healthy and satisfying lunch, begin your meal with a selection of mezze such as best-in-town baba ganouj and labneh made from fermented cashews, crush a za’atar flatbread and dig into a falafel salad.",False
BAR MARCO,MEDITERRANEAN,4124711900,"Bar Marco has been my touchstone Pittsburgh restaurant since it opened in 2012 in the Strip District. Over the years, it’s morphed from a wine and cocktail bar with good snacks to an ambitious, assertively aspirational restaurant and then, in the past three years, found its footing as a classy, upbeat gem where everyone feels at home.",True
BITTER ENDS GARDEN & LUNCHEONETTE,AMERICAN,4124500229,"Combine the best aspects of the farm-to-table movement with an old-school neighborhood lunch counter, and you have Bitter Ends Garden &amp; Luncheonette. The restaurant, which seats 17, might be pocket-sized, yet Chef/Co-Owner Becca Hegarty makes magic with what she serves on her curated, vegetable-forward menu that also features house-baked breads and pastries. Hegarty and her partners pay fastidious attention to quality of ingredient, farming some of what’s cooked and teaming up with other regional producers for the rest. Saddle up to the counter for a killer sausage and egg breakfast sandwich, a vegetable hoagie or a bowl of soup. Or, all of them … and a doughnut.",False
CAFE ZINHO,MEDITERRANEAN,4123631500,"There are few Pittsburgh meals that are more transportive than sharing an al fresco dinner with a group of friends at Cafe Zinho in Shadyside. It’s easy to feel the magic of the city as the summer breeze is blowing and the conversation is flowing over (BYO) bottles of wine paired with dishes such as impeccably cooked, lightly dressed fresh fish or lamb burger with mint pesto.",True
CASBAH,MEDITERRANEAN,4126615656,"Now into its second decade, Casbah remains one of Pittsburgh’s most important restaurants. Executive Chef Dustin Gardner caters to longtime regulars as well as new visitors with a menu that seamlessly intertwines classic Casbah favorites such as cavatelli with fennel sausage and double-cut pork chops with butternut squash risotto with newer dishes such as sheep’s-milk gnudi, bay scallops, preserved lemon, pomegranate, cauliflower puree and bread crumbs. Front-of-house service is professional, the wine list is deep and the cocktail program is, quietly, one of the best executed in Pittsburgh.",True
CHENGDU GOURMET,SICHUAN CHINESE,4125212088,"Chengdu Gourmet Executive Chef/Owner Wei Zhu is a three-year-running James Beard Foundation Award semifinalist for Best Chef: Mid-Atlantic for his outstanding Sichuan cookery. Here’s what I tell people when they ask me about visiting the restaurant: It’s much more fun with a group, plan on sharing everything and, if you are new to Sichuan cuisine, feel good about asking a lot of questions.",True
COCOTHE,NEW AMERICAN,4122598847,"There perhaps is no restaurant in Pittsburgh which is as darling an upscale hidden gem as Cocothé in Sewickley, where Executive Chef Dave DeVoss crafts forward-thinking dishes inspired by Continental dining tradition. His seasonal menus include appetizers such as beef tartare with port wine poached pear, radicchio salad and cranberry and hazelnut crackers as well as entrees such as roasted salmon with apple and lemon smashed potatoes, beurre blanc sauce and shaved apple and fennel salad. You’re lucky if you live nearby, and it’s worth the drive if you don’t.",False
CURE,MEDITERRANEAN,4122522595,"Executive Chef/Co-Owner Justin Severino, chef de cuisine Danielle Felix and the rest of the culinary team at Cure consistently craft some of Pittsburgh’s most exciting dishes. Coddled eggs with sherry chantilly and smoked maple, for example, is elegant comfort in a calcium shell, and roasted trout with braised swiss chard, calabrian chili, crispy fried white runner beans and burnt lemon hits the mark as an elevated yet unfussy main course. Pasta dishes, available by the half- and whole-order, work as a side dish, a main course and even, paired with a glass of wine or one of Cure’s perfectly balanced cocktails, an indulgent snack.",False
DIANOIAS EATERY,ITALIAN,4129181875,"DiAnoia’s Eatery seamlessly bridges the divide between wildly popular, Instagramable (and also flavorsome) dishes such as Sorrentina-style gnocchi, which comes in its own bread bowl, with rooted Italian cuisine such as porchetta served with its drippings and olive-oil-kissed, pan-roasted branzino served with roasted potatoes and tomatoes. Visit during the day for crushable lunchtime sandwiches and antipasti, and in the morning for beautiful coffee drinks and an egg sandwich that rivals those of New York City bodegas.",True
DINETTE,MEDITERRANEAN,4123620202,"Dinette remains as relevant and vital a force in Pittsburgh dining as when Sonja J Finn opened it in 2008. It’s a perfect spot for an intimate evening with a loved one, and it’s also one of my top recommendations for places to go when you want to pamper yourself to a weeknight evening with a glass of wine, a simple-yet-lovely meal and some quality time with a good book.",True
DISH OSTERIA & BAR,MEDITERRANEAN,4123902012,"Pittsburgh food lovers mourned in 2017 when Michele and Cindy Savoia announced they were shuttering their 17-year-old Dish Osteria &amp; Bar. We rejoiced in April when what was a closing turned out to be an extended sabbatical. It’s as if the Savoias froze time; all the magic that made Dish one of Pittsburgh’s most beloved restaurants is still there, as are nearly the entire closing staff.",False
DRIFTWOOD OVEN,PIZZA,4122510253,"Pittsburgh went ga-ga when author/model Chrissy Teigen tweeted in February about how much she loved Driftwood Oven. It caused a bit of a frenzy (and some very long lines) for a few weeks, but it also clued people in to what a lot of us already knew: Neil Blazin and Justin Vetter’s brick-and-mortar version of their once-mobile pizzaria is outstanding.",False
ELEVEN CONTEMPORARY KITCHEN,AMERICAN,4122015656,"Eleven Contemporary Kitchen is one of Pittsburgh’s most revered establishments. The high-end flagship of the big Burrito Restaurant Group’s mix of elegant cuisine, full spectrum beverage program and attentive service makes it a destination for special occasions, and Eleven’s tavern menu also makes it one of the city’s preeminent happy hour destinations. Executive Chef Eli Wahl’s seasonal tasting menus are noteworthy, and main courses such as Elysian Fields lamb loin with smoked lamb belly, celery root purée, roasted beets, Brussels sprouts, Anson Mills oats and whole-grain mustard jus are crowd pleasers.",True
FISH NOR FOWL,MODERN AMERICAN,4124604644,"Fish Nor Fowl, the sixth standalone concept from the Richard DeShantz Restaurant Group is firing on all cylinders in the former Salt of the Earth space. Executive Chef /Partner Dan Carlton’s modern American menu features a selection of shareable dishes that change with the weather — some standouts from this year include halibut collar with lemon and butter, farfalle with uni, baby corn, chervil and lime and burrata with citrus, fennel and bitter greens.",False
FL. 2,AMERICAN,4127738848,"Earlier this year, while eating a coconut-chia parfait and sipping on a vivid blend of fresh-pressed juices in fl.2’s stunning dining room, I was reminded about how luxurious it feels to enjoy an elegant breakfast in a beautiful space. But I typically go to fl.2 in the evening, which is when the restaurant’s extraordinarily talented executive chef, Julio Peraza, oversees one of the best dinner menus in Pittsburgh.",True
